,jobs/job_title,skills,job_description
52,IT Software Analyst,"Agile Methodologies,C#,C++,HTML,Integration,Java,JavaScript,jQuery,Linux,MySQL,PHP,Project Management,Scrum",nus global asia institute looking software analyst create innovative engaging web portals aimed better understanding human behavior looking someone dynamic box thinker someone enjoys autonomy flexibility candidate collaborate closely team world class behavioral data scientists salary benefits commensurate skillset experience qualifications duties software analyst include building websites concept way completion aspects home page site layout function responsible writing well designed testable efficient code creating website layout user interface integrating data various back end services databases maintaining expanding sites creating updating software documentation also responsible matters relating institute website
54,Banking Executive,"Asset Management,Banking,Commercial Banking,Corporate Finance,Credit,Credit Analysis,Customer Service,Finance,Financial Analysis,Investments,Leadership,Loan Origination,Loans",aspire make difference digital customers building omni channel strategy pioneering new digital experiences ground breaking innovations building portfolio digital projects design develop best class customer employee journeys identify opportunities digital value capture strategic cost management manage timely delivery projects identify anticipate emerging technology customer insights industry trends customer behaviour trends continuously improve online mobile offerings strive best digital bank world improve customer satisfaction channels monitor voice customers feedback channels identify areas improvement define short term action points permanent fixes remove pain points collaborate learn cross functional business partners including customer experience marketing finance legal compliance risk operations others develop holistic end end digital solutions fulfil customer business needs define business requirements digital channel enhancements review functional specifications participate sign user acceptance testing uat along processes documentation
69,Senior Solution Architect,"Agile Methodologies,Architecture,Business Analysis,Business Intelligence,Cloud Computing,Enterprise Architecture,Enterprise Software,Integration,IT Strategy,Oracle,Pre-sales,Project Management,Requirements Analysis",introduce technical vision solution develop technical solutions convert requirements architecture design blueprint solution creation understand business technical challenges functional non functional needs proposed solution provide accurate specifications according solution defined managed delivered plan execute system integration performance testing across product project systems review technical documentation design
72,IT- Business Applications Support Engineer,"Algorithms,C,C++,Databases,HTML,Java,JavaScript,Linux,Matlab,Perl,Programming,Python,Simulink",role job summary techno functional position responsible providing application development administration support sap erp enterprise reporting application sql server power bi qlikview essential duties responsibilities position responsible providing application development administration support sap 0 environment enterprise reporting application sql server power bi detailed responsibilities include limited sap 0 provide technical development sap ecc system using abap provide technical development sap ecc system using abap support system integration external systems manufacturing execution system mes customer claim systems provide bug fixing sustainability support enhancements abap sap ecc collaborate sap ecc functional business users analyzing requirements change request provides impact analysis estimation well document technical requirements participate implementation projects provide post implementation support providing effective solutions end users deliver program enhancements well new solutions project using abap following sdlc best practices support site wide annual erp system access review business owners comply segregation duties audit requirements support master data engineer master data maintenance e g material bom routing customer supplier enterprise reporting application sql server power bi qlikview participate technical analysis activities gather required reporting dashboard requirements business application ba functional analyst power bi reports translate business requirements technical specifications used implement required reports dashboards created potentially multiple data sources develop stored procedures extract data enterprise systems e g sap salesforce com sharepoint sql server using ssis ssas support ba functional analyst developing power bi reports dashboards support ba analyst administration support qlikview reporting application provide application administration technical support enterprise applications includes ms sharepoint customer warranty claim system hr provide timely delivery assigned work conduct system technical testing maintain high quality deliverable well supporting operation users ba analysts user acceptance test assist preparation review technical functional test case documentation maintains effective library maintain date application database related documentation handle ba daily issues requests collaborating internal team members vendors facilitate standardized end end problem change management process implement proactive measures continuous improvements ensure robustness performance application provide level 2 support trouble shoot resolve application related issues implement preventive actions develop scripts application monitoring alerts recovery produce maintain problem management process documentation ensure preventive corrective action plans address source root cause cause contributing cause problem participate change management problem management incident management production support related forums perform verification testing activities system upgrades patch deployment system maintenance activities produce communicate metrics show effectiveness problem management effort initiate continuous improvements solve recurring issues monitor review daily weekly monthly audit related logs prepare documents monthly system audit take preventive actions data archiving etc maintain system performances work streams like platforms infrastructure mes governance commercial finance etc ensure compliance control policies procedures project management support function responsible minor projects conduct end users trainings new applications troubleshooting project problems manage transition transformation application tools work processes ensure compliance control policies procedures additional responsibilities must able motivate create working environment results successful services delivery client satisfaction technical evaluation implementation support business applications erp hr reporting platform manage small scale projects
84,Change Management Manager,"Business Analysis,Business Process Improvement,Business Strategy,Business Transformation,Change Management,Leadership,Leadership Development,Management,Management Consulting,Organizational Design,Organizational Development,Organizational Effectiveness,Performance Management",experienced consultant strong track record organizational change management process technology projects understanding linkages business design user adoption technology experience designing target operating models implementing organizational design client projects may take roles change manager co creator change designer organizational designer employee engagement
87,Required Windows / System Engineer,"Active Directory,Cisco Technologies,Data Center,DNS,Firewalls,IT Management,IT Service Management,ITIL,Linux,Microsoft Office,Network Administration,Network Security,Project Management",system administrators administrate systems may active directory exchange system center splunk sa provide support required perform troubleshooting resolve issues reported users sa also need help maintain security posture servers resolve mitigate vulnerabilities detected system
91,"Lead Solution Engineer, Thailand | Enterprise","Acoustics,Algorithms,Analysis,AutoCAD,Business Development,Engineering,Entrepreneurship,IP,Java,Linux,Management,Matlab,PHP",manage enterprise accounts primarily singapore work closely current customers prospective customers trusted advisor deeply understand unique company challenges goals build trusted relationship senior executives key decision makers across business technology develop deliver innovative custom solutions including solution concepts key decision makers address business issues needs aligned business value coordinate lead entire solution cycle close collaboration broad range supporting technical business resources industry experience incorporating developing point view based salesforce solutions fully understand clearly articulate unique benefits salesforce wide range customer stakeholders front line staff right c level executives present compelling salesforce partner solutions supporting relationships customers partners display initiative self motivation deliver high quality results along meeting expectations internal external customers strong interest growing career participating internal training programs mentorship initiatives must proven track record development delivery differentiated custom solutions presentations including technical concepts key decision makers address business issues needs ability orchestrate sales cycle requires involvement multiple internal external resources display initiative self motivation deliver high quality work time meeting deadlines internal external customers willing able travel occasionally
92,Senior Network Engineer,"Active Directory,CCNA,Cisco Technologies,Data Center,Disaster Recovery,Firewalls,Network Administration,Network Design,Network Engineering,Network Security,Networking,Routers,Routing",12 months renewable contract
111,Full Stack Developer,".NET,Agile Methodologies,C,C#,C++,CSS,HTML,Java,JavaScript,jQuery,Linux,Microsoft SQL Server,MySQL",healthcare platform built blockchain artificial intelligence database management system technologies patients healthcare providers researchers commercial companies integrating principles patient centricity privacy data sharing leverages technologies 5 years development numerous peer reviewed scientific publications utilising well tested software stack allows patients doctors fully unlock value health data better effective treatments offers competitive salary unique opportunity apply cutting edge research advances building next generation healthcare system
114,Data analyst,"Analysis,Business Analysis,Business Strategy,Corporate Finance,Data Analysis,Equities,Financial Analysis,Financial Modeling,Investment Banking,Investments,Leadership,Management,Microsoft Excel",build improve machine learning analytics platform develop components machine learning analytics platform improve machine learning workflow data exploration model experimentation prototyping production build framework support machine learning data driven business activities large scale work data scientists build end end machine learning analytics solution solve business challenges build data pipeline machine learning systems turn advanced machine learning models created data scientists end end production grade system build analytics platform components support data collection exploratory integration various sources data api rdbms big data platform optimize efficiency machine learning algorithm applying state art technologies e distributed computing concurrent programming parallel computing
120,User Experience Designer,"Axure,CSS,Graphic Design,HTML 5,Illustrator,Information Architecture,Interaction Design,Mobile Applications,Photoshop,Usability,Usability Testing,User Experience,User Experience Design",user experience designer creates designs engaging experiences users collaborates key business partners enhance user online experience works front end developers engineers resolve user interface issues obtains leverages user feedback drive improve user design direction evaluates recommends suitable user designs implementation keeps date latest user design concepts software development changes remain competitive industry
128,"IT Security Engineer ($2500-3000, 5 days, River Valley)","Cisco Technologies,CISSP,Cloud Computing,Computer Security,Data Center,Firewalls,Information Security,Information Security Management,Integration,Linux,Network Security,Networking,Penetration Testing",security engineer 2500 3000 5 days river valley candidate hired handle client security matters job scope inclusive security solutions development implementation job scope onsite technical support security solutions analyze potential security threat provide professional security consultation involve perform project implementation security related solutions understand translate business security terms requirements technical security solutions preparation documents project management
129,Software Engineer – Server,"Agile Methodologies,C,C#,C++,CSS,Eclipse,Git,HTML,Java,JavaScript,jQuery,Linux,MySQL",group software engineers take coding seriously understand programming science responsible design implementation services systems platforms high performance high availability high scalability constantly dive deep layer code identify solve problems job description server side design development services systems platforms used products user write high quality clean elegant maintainable code build common libraries analyse requirements design develop functionalities based product requirements understand product thoroughly constantly optimise product identify fix problems improve stability user experience design implement various supporting tools needed collaborate software engineers product managers user experience designers operations engineers build features products
137,Project Manager,"Business Analysis,Business Intelligence,Business Process Improvement,Change Management,Integration,IT Management,IT Strategy,ITIL,Management,MS Project,PMP,Process Improvement,Program Management",identify company needs manage project scope develop business case solution address problem manage project procurement develop project management risk management plan project schedule planning control manage project cost budget planning control cashflow management document requirements source evaluate alternatives recommend solution best fits company needs manage optimal project communication various stakeholder manage changes project scope schedule cost work company vendor app vendor solutions design seek clarification acceptance work company users 3rd party vendor develop deployment plan ensure smooth deployment adoption new solution assess problem resolution approach implement effective service recovery ict incidents establish systems processes prevent recurrence incident understand management policy quality management policy security guidelines ensure development processes procedures system designed comply policies guidelines
140,Senior Java Developer,"Agile Methodologies,Ant,Eclipse,EJB,Hibernate,Java,Java Enterprise Edition,JavaScript,JBoss Application Server,JDBC,JSP,JUnit,Maven",looking senior java developer join team full software development life cycle planning analysis design implementation maintenance working team various projects integrating multiple software systems modules provides leadership team mid level entry level developers develops object oriented software conforms program standards ensure reusability works version management system control track release changes bug tracking resolve issues ensures bugs solutions properly documented works closely design team offering input works closely customers ensure solutions meet requirements communicates effectively oral written form
142,INFORMATION TECHOLOGY SUPPORT OFFICER,"Active Directory,Computer Hardware,IT Service Management,ITIL,Java,Linux,Microsoft Exchange,Microsoft Office,Networking,PHP,Project Management,Servers,SQL",provide technical support staff setup laptops new staff manage staff email accounts office 365 troubleshoot technical issues encountered staff e g internet connection printer print provide first level technical support system issues faced customers configure support equipment office studios routers cisco wireless access points ipsec vpn configuration printers pos systems digital manage assets track assets assist procure equipment e g laptop mouse monitor
144,IT / STEM Trainer,"Active Directory,Business Analysis,CRM,ERP,IT Management,IT Service Management,ITIL,JavaScript,Leadership,Management,Microsoft SQL Server,Network Administration,Networking",1 open individuals conduct training classroom based 2 core work scope includes presentation facilitation revision improvement training materials 3 participate annual robotic competition related events 4 programming configuration knowledge robotic construction kit advantageous lego pi etc 5 participate events relating robotics coding classes conducted school corporates
163,Solution architect,"Agile Methodologies,Architecture,Business Analysis,Business Intelligence,Cloud Computing,Enterprise Architecture,Enterprise Software,Integration,IT Strategy,Oracle,Pre-sales,Project Management,Requirements Analysis",solution architect defines infrastructure concepts based enterprise architecture principles specifications development paradigms role also requires business analysis experience ability support product owner internal developers delivery
166,Cyber Vulnerability Researcher,"Algorithms,Artificial Intelligence,C,C++,Computer Science,Data Analysis,Data Mining,Java,LaTeX,Machine Learning,Matlab,Microsoft Office,Programming",perform research discover vulnerabilities operating systems software applications hardware devices code audit black box testing reverse engineering develop enhance processes tools discovery triage vulnerabilities research new vulnerability discovery techniques processes
168,MS BI Software Engineer,".NET,Agile Methodologies,C,C#,C++,CSS,HTML,Java,JavaScript,jQuery,Linux,Microsoft SQL Server,MySQL",gather business requirements clients business analysts design develop solutions based requirements maintain high standard delivery quality innovate look new solutions components build pocs demonstrate new usage present senior audience elaborate project documentations design documents deployment guide maintenance existing bi projects interact provide reporting project managers
173,Implementation Engineer,"Analysis,Business Analysis,CRM,Customer Service,Databases,Healthcare Information Technology,Integration,Leadership,Management,Microsoft Office,Process Improvement,Program Management,Project Management",tookitaki tookitaki providing enterprise software solutions create sustainable compliance programs innovating usd 100 billion regulatory compliance space moving beyond rules based applications introducing software solutions maximize efficiency reduce risks processes mission provide machine learning powered regulatory compliance solutions scalable actionable incorporated 2014 singapore company led core team cumulative 30 years experience finance machine learning backed institutional investors ventures spring singapore government raised usd 4 2 part series financing regulatory compliance currently focus 2 areas anti money laundering reconciliation two products alerts management suite ams reconciliation management suite rms cater alerts management anti money laundering exception management reconciliation tookitaki accolades include first place inaugural monetary authority singapore mas fintech awards 2016 innovative companies regulatory compliance space top 7 ai companies apac top 21 ai companies world 2017 medici leading companies applying ai build next financial services solutions 1 4 companies achieve accreditation sgd singapore infocomm media development authority imda compliance tech category within data analytics artificial intelligence 2017 fintech companies singapore 2017 fintech news singapore 1 8 graduates 2017 innovation accelerator joint venture united overseas bank uob 1 8 graduates nomura fintech accelerator program 2017 top startups singapore ai scene 2017 1 8 startups selected accelerator program 2016 devops engineer looking devops engineer join engineering team help us deliver big data enterprise stack clients candidate expected build creation packaging deployment setup client site providing necessary support candidates expected client place end end delivery project
177,Technical Consultant,"Agile Methodologies,Business Analysis,Business Intelligence,Cloud Computing,Databases,Integration,Java,JavaScript,Linux,Management,Microsoft SQL Server,Oracle,Project Management",passion services organization application management crm peoplesoft good working knowledge itil processes client relationship management issue resolution techniques good knowledge following features microsoft dynamics crm 2011 premise crm online 2015 update 1 extensive hands experience ms sql server 2012 developing handling stored procedures functions triggers experience data retrieval backup data maintenance related applications
182,C# Developer,"Agile Methodologies,C#,C++,CSS,Databases,Git,HTML,Java,JavaScript,jQuery,Linux,Microsoft SQL Server,MySQL",role key responsibilities main missions focusing primarily integration code ui server side class events extensions custom reports bi schedule jobs develop interfaces rest ecosystem help technical support team implement monitoring tools mid longer term potentially house development projects addressing business needs outside trading platform main activities understand challenge refine business requirements implement aspects application design translate application use cases functional applications design coding security error logging debugging scalability code reviews development environment configuration delivering testing deliver services users highest level satisfaction design build maintain efficient reusable reliable code per high standard software quality design testing principles team delivering solutions time budget provide workload estimations support continuous improvement services applications identify bottlenecks bugs define solutions problems write update technical documentations english make available team provide training team members work close collaboration business stakeholders users business analysts architects development teams
187,Senior Software Engineer,"Agile Methodologies,C,C++,ClearCase,Debugging,Distributed Systems,Embedded Software,Embedded Systems,HTML,Java,JavaScript,Linux,Object Oriented Design",senior software engineer work product team design implementation deployment technical operations functional software solutions customers various industries keep date contribute technology assessments person role expected work independently little supervision able work team excellent problem solving skills hands experience software development role 's goal develop high quality software aligned customer needs business goals responsibilities develop features collaboration product team proposal result communicate peers transparent way engage development team escalate bugs solve problems obtain missing information take initiative improving software small large ways address pain points experience developer writes good code practices collective code ownership keep code easy maintain keep easy others contribute code keep changes small iterate towards best solution debug production issues across services levels stack bugs style issues code reviews constantly improve product quality security performance promote best practices development deployment cloud native environment ship small features independently help improve deployment process make possible help release managers product owners project managers deploy troubleshoot different versions system deploy build configure deployment methods multi cloud environments possibly premise environments
197,"AVP, Data Scientist, Business Analytics, Consumer Banking Group (WD00490)","Banking,Business Analysis,Business Development,Capital Markets,Credit,Equities,Finance,Financial Analysis,Investment Banking,Investments,Leadership,Loans,Management",business function leading bank asia dbs consumer banking group unique position help customers realise dreams ambitions market leader consumer banking business dbs full spectrum products services including deposits investments insurance mortgages credit cards personal loans help customers realise dreams aspirations every life stage financial solutions best business made right role regional data science team part regional business analytics team consumer banking group responsibilities include building data science solutions using advanced machine learning methods recommendation engines text mining solutions customer models increase business impact efficient customer management well answer numerous business questions using statistical tools data analysis responsibilities involve building cutting edge algorithms working state art data science machine learning tools spark flow mastery number analytic platforms like sas sql python r etc work large scale datasets distributed big data platforms variety advanced analytics solutions across bank ranging recommendation engines propensity models customer segmentation graph models pricing work alongside ba leadership making regular presentation senior management including c level executives within consumer bank leadership across region help team methodology guidance areas experiment design data analysis
201,Software Development Engineer,".NET,Agile Methodologies,Algorithms,C,C#,C++,Distributed Systems,Java,JavaScript,Linux,Machine Learning,MySQL,Perl",analyse discuss customer requirements team members define design propose solution based customer requirements breakdown assign software modules team members develop develop server applications perform unit test bug fixing deploy server prepare technical specifications documentation analyse support maintain net windows application
203,Mobile Application Developer,".NET,Agile Methodologies,ASP.NET,C#,C++,CSS,Databases,HTML,Java,JavaScript,jQuery,Microsoft SQL Server,MySQL",minimum 5 years program industry experience minimum 3 years experience android ios mobile apps able work independently able work independently minimum supervision
205,Assistant Manager,"Analysis,Biotechnology,Business Analysis,Customer Service,EHR,EMR,Healthcare,Healthcare Information Technology,Hospitals,Integration,Lifesciences,Management,Medical Devices",position summary building strong rapport business users involved conducting requirements analysis system implementation training providing going application support appreciation understanding hospital processes key success role critical resource address system downtime providing 24 7 non shift schedule application support users responsibilities provide going application support involved various stages sdlc conduct user requirement analysis development implementation new systems enhancements existing systems evaluate potential solutions make recommendations resolve business problems involvement system integration testing phase prior implementation plan coordinate end user training system implementations enhancements liaise closely business users build good rapport liaise closely vendors project implementation application testing supporting application patches upgrades accordance project methodologies policies support team defining project requirements tracking documentation provide 24 7 primary application maintenance standby support provide guidance coaching junior team members
